Run Name,SH Degree,Learning Rate,SSIM Lambda,Num Random,Refine Every,Densify Thresh,PSNR,SSIM,LPIPS,Train Time (s)
sh2_lr00001_ssim00_n50000_ref50_dens00003,2,0.0001,0.0,50000,50,0.0003,12.41,0.0568,0.0002,118.62
sh2_lr00001_ssim00_n50000_ref50_dens00005,2,0.0001,0.0,50000,50,0.0005,12.41,0.0569,0.0002,134.51
sh2_lr00001_ssim00_n50000_ref100_dens00003,2,0.0001,0.0,50000,100,0.0003,12.41,0.0568,0.0002,118.1
sh2_lr00001_ssim00_n50000_ref100_dens00005,2,0.0001,0.0,50000,100,0.0005,12.41,0.0569,0.0002,141.06
sh2_lr00001_ssim00_n100000_ref50_dens00003,2,0.0001,0.0,100000,50,0.0003,12.4,0.0567,0.0002,95.97
sh2_lr00001_ssim00_n100000_ref50_dens00005,2,0.0001,0.0,100000,50,0.0005,12.41,0.0571,0.0002,111.76
sh2_lr00001_ssim00_n100000_ref100_dens00003,2,0.0001,0.0,100000,100,0.0003,12.41,0.0569,0.0002,102.78
sh2_lr00001_ssim00_n100000_ref100_dens00005,2,0.0001,0.0,100000,100,0.0005,12.42,0.0572,0.0002,112.64
sh2_lr00001_ssim02_n50000_ref50_dens00003,2,0.0001,0.2,50000,50,0.0003,12.39,0.0564,0.0002,106.26
sh2_lr00001_ssim02_n50000_ref50_dens00005,2,0.0001,0.2,50000,50,0.0005,12.4,0.0565,0.0002,112.72
sh2_lr00001_ssim02_n50000_ref100_dens00003,2,0.0001,0.2,50000,100,0.0003,12.39,0.0564,0.0002,110.1
sh2_lr00001_ssim02_n50000_ref100_dens00005,2,0.0001,0.2,50000,100,0.0005,12.4,0.0564,0.0002,116.04
sh2_lr00001_ssim02_n100000_ref50_dens00003,2,0.0001,0.2,100000,50,0.0003,12.39,0.0564,0.0002,93.65
sh2_lr00001_ssim02_n100000_ref50_dens00005,2,0.0001,0.2,100000,50,0.0005,12.4,0.0565,0.0002,94.73
sh2_lr00001_ssim02_n100000_ref100_dens00003,2,0.0001,0.2,100000,100,0.0003,12.4,0.0565,0.0002,100.82
sh2_lr00001_ssim02_n100000_ref100_dens00005,2,0.0001,0.2,100000,100,0.0005,12.4,0.0565,0.0002,99.4
sh2_lr00002_ssim00_n50000_ref50_dens00003,2,0.0002,0.0,50000,50,0.0003,12.42,0.0569,0.0002,111.12
sh2_lr00002_ssim00_n50000_ref50_dens00005,2,0.0002,0.0,50000,50,0.0005,12.42,0.0573,0.0002,83.58
sh2_lr00002_ssim00_n50000_ref100_dens00003,2,0.0002,0.0,50000,100,0.0003,12.42,0.0568,0.0002,89.08
sh2_lr00002_ssim00_n50000_ref100_dens00005,2,0.0002,0.0,50000,100,0.0005,12.42,0.0573,0.0002,82.05
sh2_lr00002_ssim00_n100000_ref50_dens00003,2,0.0002,0.0,100000,50,0.0003,12.41,0.0572,0.0002,85.77
sh2_lr00002_ssim00_n100000_ref50_dens00005,2,0.0002,0.0,100000,50,0.0005,12.42,0.0571,0.0002,84.96
sh2_lr00002_ssim00_n100000_ref100_dens00003,2,0.0002,0.0,100000,100,0.0003,12.42,0.0571,0.0002,81.83
sh2_lr00002_ssim00_n100000_ref100_dens00005,2,0.0002,0.0,100000,100,0.0005,12.42,0.0574,0.0002,81.54
sh2_lr00002_ssim02_n50000_ref50_dens00003,2,0.0002,0.2,50000,50,0.0003,12.4,0.0565,0.0002,90.63
sh2_lr00002_ssim02_n50000_ref50_dens00005,2,0.0002,0.2,50000,50,0.0005,12.4,0.0565,0.0002,85.8
sh2_lr00002_ssim02_n50000_ref100_dens00003,2,0.0002,0.2,50000,100,0.0003,12.4,0.0566,0.0002,86.54
sh2_lr00002_ssim02_n50000_ref100_dens00005,2,0.0002,0.2,50000,100,0.0005,12.4,0.0566,0.0002,89.55
sh2_lr00002_ssim02_n100000_ref50_dens00003,2,0.0002,0.2,100000,50,0.0003,12.4,0.0565,0.0002,89.68
sh2_lr00002_ssim02_n100000_ref50_dens00005,2,0.0002,0.2,100000,50,0.0005,12.4,0.0566,0.0002,83.05
sh2_lr00002_ssim02_n100000_ref100_dens00003,2,0.0002,0.2,100000,100,0.0003,12.4,0.0565,0.0002,87.02
sh2_lr00002_ssim02_n100000_ref100_dens00005,2,0.0002,0.2,100000,100,0.0005,12.41,0.0566,0.0002,82.83
sh3_lr00001_ssim00_n50000_ref50_dens00003,3,0.0001,0.0,50000,50,0.0003,12.39,0.0566,0.0002,97.94
sh3_lr00001_ssim00_n50000_ref50_dens00005,3,0.0001,0.0,50000,50,0.0005,12.4,0.0568,0.0002,108.89
sh3_lr00001_ssim00_n50000_ref100_dens00003,3,0.0001,0.0,50000,100,0.0003,12.4,0.0569,0.0002,101.05
sh3_lr00001_ssim00_n50000_ref100_dens00005,3,0.0001,0.0,50000,100,0.0005,12.4,0.0569,0.0002,112.88
sh3_lr00001_ssim00_n100000_ref50_dens00003,3,0.0001,0.0,100000,50,0.0003,12.39,0.0568,0.0002,85.22
sh3_lr00001_ssim00_n100000_ref50_dens00005,3,0.0001,0.0,100000,50,0.0005,12.4,0.057,0.0002,84.5
sh3_lr00001_ssim00_n100000_ref100_dens00003,3,0.0001,0.0,100000,100,0.0003,12.4,0.0568,0.0002,89.38
sh3_lr00001_ssim00_n100000_ref100_dens00005,3,0.0001,0.0,100000,100,0.0005,12.4,0.0571,0.0002,90.39
sh3_lr00001_ssim02_n50000_ref50_dens00003,3,0.0001,0.2,50000,50,0.0003,12.38,0.0564,0.0002,97.3
sh3_lr00001_ssim02_n50000_ref50_dens00005,3,0.0001,0.2,50000,50,0.0005,12.39,0.0565,0.0002,91.24
sh3_lr00001_ssim02_n50000_ref100_dens00003,3,0.0001,0.2,50000,100,0.0003,12.38,0.0564,0.0002,102.36
sh3_lr00001_ssim02_n50000_ref100_dens00005,3,0.0001,0.2,50000,100,0.0005,12.39,0.0564,0.0002,97.83
sh3_lr00001_ssim02_n100000_ref50_dens00003,3,0.0001,0.2,100000,50,0.0003,12.38,0.0564,0.0002,93.88
sh3_lr00001_ssim02_n100000_ref50_dens00005,3,0.0001,0.2,100000,50,0.0005,12.39,0.0564,0.0002,84.38
sh3_lr00001_ssim02_n100000_ref100_dens00003,3,0.0001,0.2,100000,100,0.0003,12.38,0.0564,0.0002,97.66
sh3_lr00001_ssim02_n100000_ref100_dens00005,3,0.0001,0.2,100000,100,0.0005,12.39,0.0564,0.0002,90.35
sh3_lr00002_ssim00_n50000_ref50_dens00003,3,0.0002,0.0,50000,50,0.0003,12.4,0.0568,0.0002,91.55
sh3_lr00002_ssim00_n50000_ref50_dens00005,3,0.0002,0.0,50000,50,0.0005,12.41,0.0571,0.0002,105.72
sh3_lr00002_ssim00_n50000_ref100_dens00003,3,0.0002,0.0,50000,100,0.0003,12.4,0.0567,0.0002,95.97
sh3_lr00002_ssim00_n50000_ref100_dens00005,3,0.0002,0.0,50000,100,0.0005,12.41,0.0569,0.0002,110.48
sh3_lr00002_ssim00_n100000_ref50_dens00003,3,0.0002,0.0,100000,50,0.0003,12.41,0.0569,0.0002,85.95
sh3_lr00002_ssim00_n100000_ref50_dens00005,3,0.0002,0.0,100000,50,0.0005,12.41,0.0571,0.0002,84.05
sh3_lr00002_ssim00_n100000_ref100_dens00003,3,0.0002,0.0,100000,100,0.0003,12.4,0.0572,0.0002,88.75
sh3_lr00002_ssim00_n100000_ref100_dens00005,3,0.0002,0.0,100000,100,0.0005,12.42,0.0576,0.0002,85.68
sh3_lr00002_ssim02_n50000_ref50_dens00003,3,0.0002,0.2,50000,50,0.0003,12.39,0.0565,0.0002,100.8
sh3_lr00002_ssim02_n50000_ref50_dens00005,3,0.0002,0.2,50000,50,0.0005,12.4,0.0566,0.0002,90.36
sh3_lr00002_ssim02_n50000_ref100_dens00003,3,0.0002,0.2,50000,100,0.0003,12.39,0.0565,0.0002,107.94
sh3_lr00002_ssim02_n50000_ref100_dens00005,3,0.0002,0.2,50000,100,0.0005,12.39,0.0565,0.0002,101.73
sh3_lr00002_ssim02_n100000_ref50_dens00003,3,0.0002,0.2,100000,50,0.0003,12.39,0.0565,0.0002,97.13
sh3_lr00002_ssim02_n100000_ref50_dens00005,3,0.0002,0.2,100000,50,0.0005,12.39,0.0565,0.0002,86.92
sh3_lr00002_ssim02_n100000_ref100_dens00003,3,0.0002,0.2,100000,100,0.0003,12.39,0.0565,0.0002,92.67
sh3_lr00002_ssim02_n100000_ref100_dens00005,3,0.0002,0.2,100000,100,0.0005,12.4,0.0566,0.0002,92.73
sh2_lr00001_ssim00_n50000_ref50_dens00003,2,0.0001,0.0,50000,50,0.0003,14.46,0.0783,0.0001,87.3
sh2_lr00001_ssim00_n50000_ref50_dens00005,2,0.0001,0.0,50000,50,0.0005,14.47,0.0784,0.0001,107.66
sh2_lr00001_ssim00_n50000_ref100_dens00003,2,0.0001,0.0,50000,100,0.0003,14.47,0.0783,0.0001,130.67
sh2_lr00001_ssim00_n50000_ref100_dens00005,2,0.0001,0.0,50000,100,0.0005,14.47,0.0784,0.0001,132.6
sh2_lr00001_ssim00_n100000_ref50_dens00003,2,0.0001,0.0,100000,50,0.0003,14.47,0.0782,0.0001,95.3
sh2_lr00001_ssim00_n100000_ref50_dens00005,2,0.0001,0.0,100000,50,0.0005,14.47,0.0784,0.0001,79.63
sh2_lr00001_ssim00_n100000_ref100_dens00003,2,0.0001,0.0,100000,100,0.0003,14.47,0.0784,0.0001,81.02
sh2_lr00001_ssim00_n100000_ref100_dens00005,2,0.0001,0.0,100000,100,0.0005,14.47,0.0784,0.0001,81.32
sh2_lr00001_ssim02_n50000_ref50_dens00003,2,0.0001,0.2,50000,50,0.0003,14.47,0.0781,0.0001,112.57
sh2_lr00001_ssim02_n50000_ref50_dens00005,2,0.0001,0.2,50000,50,0.0005,14.47,0.0781,0.0001,125.01
sh2_lr00001_ssim02_n50000_ref100_dens00003,2,0.0001,0.2,50000,100,0.0003,14.47,0.0781,0.0001,115.68
sh2_lr00001_ssim02_n50000_ref100_dens00005,2,0.0001,0.2,50000,100,0.0005,14.47,0.0781,0.0001,136.19
sh2_lr00001_ssim02_n100000_ref50_dens00003,2,0.0001,0.2,100000,50,0.0003,14.47,0.0781,0.0001,93.98
sh2_lr00001_ssim02_n100000_ref50_dens00005,2,0.0001,0.2,100000,50,0.0005,14.47,0.0781,0.0001,98.65
sh2_lr00001_ssim02_n100000_ref100_dens00003,2,0.0001,0.2,100000,100,0.0003,14.47,0.0781,0.0001,100.14
sh2_lr00001_ssim02_n100000_ref100_dens00005,2,0.0001,0.2,100000,100,0.0005,14.47,0.0781,0.0001,99.24
sh2_lr00002_ssim00_n50000_ref50_dens00003,2,0.0002,0.0,50000,50,0.0003,14.47,0.0783,0.0001,140.05
sh2_lr00002_ssim00_n50000_ref50_dens00005,2,0.0002,0.0,50000,50,0.0005,14.47,0.0784,0.0001,147.86
sh2_lr00002_ssim00_n50000_ref100_dens00003,2,0.0002,0.0,50000,100,0.0003,14.47,0.0784,0.0001,147.91
sh2_lr00002_ssim00_n50000_ref100_dens00005,2,0.0002,0.0,50000,100,0.0005,14.47,0.0784,0.0001,149.69
sh2_lr00002_ssim00_n100000_ref50_dens00003,2,0.0002,0.0,100000,50,0.0003,14.47,0.0783,0.0001,98.74
sh2_lr00002_ssim00_n100000_ref50_dens00005,2,0.0002,0.0,100000,50,0.0005,14.47,0.0784,0.0001,108.17
sh2_lr00002_ssim00_n100000_ref100_dens00003,2,0.0002,0.0,100000,100,0.0003,14.47,0.0784,0.0001,102.24
sh2_lr00002_ssim00_n100000_ref100_dens00005,2,0.0002,0.0,100000,100,0.0005,14.47,0.0785,0.0001,108.64
sh2_lr00002_ssim02_n50000_ref50_dens00003,2,0.0002,0.2,50000,50,0.0003,14.47,0.078,0.0001,109.15
sh2_lr00002_ssim02_n50000_ref50_dens00005,2,0.0002,0.2,50000,50,0.0005,14.47,0.0781,0.0001,107.32
sh2_lr00002_ssim02_n50000_ref100_dens00003,2,0.0002,0.2,50000,100,0.0003,14.47,0.0781,0.0001,116.62
sh2_lr00002_ssim02_n50000_ref100_dens00005,2,0.0002,0.2,50000,100,0.0005,14.47,0.0782,0.0001,132.8
sh2_lr00002_ssim02_n100000_ref50_dens00003,2,0.0002,0.2,100000,50,0.0003,14.47,0.0781,0.0001,92.79
sh2_lr00002_ssim02_n100000_ref50_dens00005,2,0.0002,0.2,100000,50,0.0005,14.47,0.0782,0.0001,99.24
sh2_lr00002_ssim02_n100000_ref100_dens00003,2,0.0002,0.2,100000,100,0.0003,14.47,0.0781,0.0001,92.4
sh2_lr00002_ssim02_n100000_ref100_dens00005,2,0.0002,0.2,100000,100,0.0005,14.47,0.0782,0.0001,97.35
sh3_lr00001_ssim00_n50000_ref50_dens00003,3,0.0001,0.0,50000,50,0.0003,14.47,0.0782,0.0001,98.93
sh3_lr00001_ssim00_n50000_ref50_dens00005,3,0.0001,0.0,50000,50,0.0005,14.47,0.0783,0.0001,128.87
sh3_lr00001_ssim00_n50000_ref100_dens00003,3,0.0001,0.0,50000,100,0.0003,14.47,0.0783,0.0001,111.45
sh3_lr00001_ssim00_n50000_ref100_dens00005,3,0.0001,0.0,50000,100,0.0005,14.47,0.0783,0.0001,139.41
sh3_lr00001_ssim00_n100000_ref50_dens00003,3,0.0001,0.0,100000,50,0.0003,14.46,0.0782,0.0001,79.38
sh3_lr00001_ssim00_n100000_ref50_dens00005,3,0.0001,0.0,100000,50,0.0005,14.47,0.0783,0.0001,84.13
sh3_lr00001_ssim00_n100000_ref100_dens00003,3,0.0001,0.0,100000,100,0.0003,14.46,0.0782,0.0001,90.22
sh3_lr00001_ssim00_n100000_ref100_dens00005,3,0.0001,0.0,100000,100,0.0005,14.47,0.0783,0.0001,82.52
sh3_lr00001_ssim02_n50000_ref50_dens00003,3,0.0001,0.2,50000,50,0.0003,14.47,0.0781,0.0001,101.15
sh3_lr00001_ssim02_n50000_ref50_dens00005,3,0.0001,0.2,50000,50,0.0005,14.47,0.0781,0.0001,100.53
sh3_lr00001_ssim02_n50000_ref100_dens00003,3,0.0001,0.2,50000,100,0.0003,14.47,0.0781,0.0001,105.93
sh3_lr00001_ssim02_n50000_ref100_dens00005,3,0.0001,0.2,50000,100,0.0005,14.47,0.0781,0.0001,107.13
sh3_lr00001_ssim02_n100000_ref50_dens00003,3,0.0001,0.2,100000,50,0.0003,14.47,0.078,0.0001,86.42
sh3_lr00001_ssim02_n100000_ref50_dens00005,3,0.0001,0.2,100000,50,0.0005,14.47,0.0781,0.0001,81.52
sh3_lr00001_ssim02_n100000_ref100_dens00003,3,0.0001,0.2,100000,100,0.0003,14.47,0.0781,0.0001,84.7
sh3_lr00001_ssim02_n100000_ref100_dens00005,3,0.0001,0.2,100000,100,0.0005,14.47,0.0782,0.0001,85.97
sh3_lr00002_ssim00_n50000_ref50_dens00003,3,0.0002,0.0,50000,50,0.0003,14.47,0.0783,0.0001,100.0
sh3_lr00002_ssim00_n50000_ref50_dens00005,3,0.0002,0.0,50000,50,0.0005,14.47,0.0784,0.0001,125.16
sh3_lr00002_ssim00_n50000_ref100_dens00003,3,0.0002,0.0,50000,100,0.0003,14.47,0.0783,0.0001,113.85
sh3_lr00002_ssim00_n50000_ref100_dens00005,3,0.0002,0.0,50000,100,0.0005,14.47,0.0784,0.0001,144.38
sh3_lr00002_ssim00_n100000_ref50_dens00003,3,0.0002,0.0,100000,50,0.0003,14.47,0.0783,0.0001,79.77
sh3_lr00002_ssim00_n100000_ref50_dens00005,3,0.0002,0.0,100000,50,0.0005,14.47,0.0784,0.0001,79.53
sh3_lr00002_ssim00_n100000_ref100_dens00003,3,0.0002,0.0,100000,100,0.0003,14.47,0.0783,0.0001,84.9
sh3_lr00002_ssim00_n100000_ref100_dens00005,3,0.0002,0.0,100000,100,0.0005,14.47,0.0784,0.0001,80.86
sh3_lr00002_ssim02_n50000_ref50_dens00003,3,0.0002,0.2,50000,50,0.0003,14.47,0.0781,0.0001,102.69
sh3_lr00002_ssim02_n50000_ref50_dens00005,3,0.0002,0.2,50000,50,0.0005,14.47,0.0781,0.0001,111.46
sh3_lr00002_ssim02_n50000_ref100_dens00003,3,0.0002,0.2,50000,100,0.0003,14.47,0.0781,0.0001,104.22
sh3_lr00002_ssim02_n50000_ref100_dens00005,3,0.0002,0.2,50000,100,0.0005,14.47,0.0782,0.0001,109.66
sh3_lr00002_ssim02_n100000_ref50_dens00003,3,0.0002,0.2,100000,50,0.0003,14.47,0.0781,0.0001,84.47
sh3_lr00002_ssim02_n100000_ref50_dens00005,3,0.0002,0.2,100000,50,0.0005,14.47,0.0781,0.0001,86.81
sh3_lr00002_ssim02_n100000_ref100_dens00003,3,0.0002,0.2,100000,100,0.0003,14.47,0.0782,0.0001,82.46
sh3_lr00002_ssim02_n100000_ref100_dens00005,3,0.0002,0.2,100000,100,0.0005,14.47,0.0782,0.0001,89.22
